City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
367,Akdepe,TM,68.09,clear sky,42.0551,59.3788,
369,Ulaangom,MN,67.55,clear sky,49.9811,92.0667,Achit Nuur Hotel & Restaurant
370,Champerico,GT,76.15,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
371,Tiznit,MA,67.42,clear sky,29.5833,-9.5,
373,Moyale,KE,66.47,overcast clouds,3.5167,39.0584,La Tahzan Guest House
374,Kisangani,CD,71.44,overcast clouds,0.5167,25.2,Grand Ramela Hotel
376,Dongsheng,CN,67.39,overcast clouds,39.8161,109.9776,Crowne Plaza Ordos
380,Berdigestyakh,RU,65.46,broken clouds,62.0989,126.6992,
381,Goderich,CA,66.9,clear sky,43.7501,-81.7165,Harmony Inn
383,Cayenne,GF,82.09,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
386,Villa Bruzual,VE,75.76,light rain,9.3328,-69.1208,hotel italia
389,Brokopondo,SR,81.84,scattered clouds,4.75,-55.1667,Matu Island
392,Kirkland Lake,CA,66.49,clear sky,48.1446,-80.0377,Comfort Inn
393,Porto Velho,BR,73.45,clear sky,-8.7619,-63.9039,Ecos Hotel Conforto
396,Monterey,US,83.17,clear sky,36.2505,-121.2516,
397,La Ronge,CA,68.25,few clouds,55.1001,-105.2842,Northland Motor Hotel
403,Alice Springs,AU,65.75,overcast clouds,-23.7,133.8833,Desert Palms Alice Springs
405,Kaniama,CD,70.52,clear sky,-7.5667,24.1833,
407,Jalu,LY,80.58,clear sky,29.0331,21.5482,صاحبة الفخامة
408,Saint-Louis,SN,82.06,few clouds,16.3333,-15.0,
409,Guozhen,CN,81.95,overcast clouds,34.3659,107.359,Yucai Hotel
412,Khani,GE,74.77,light rain,41.9563,42.9566,კურორტი ზეკარი/Resort Zekari
414,Ahtopol,BG,76.03,clear sky,42.1,27.95,Agata Beach Hotel
415,Soyo,AO,68.9,few clouds,-6.1349,12.3689,Hospedaria ndozi'ame
416,Svetlaya,RU,74.32,clear sky,46.5389,138.3297,
417,Zabid,YE,82.96,overcast clouds,14.1951,43.3152,مغرب التريبه
418,Yatou,CN,69.19,overcast clouds,37.15,122.3833,GreenTree Hotel Rongcheng Bus Station
419,Funtua,NG,69.31,few clouds,11.5233,7.3081,Sani Jikan Mallam Hotel
422,Linjiang,CN,74.07,clear sky,41.8069,126.9078,格林豪泰
423,Kaffrine,SN,80.31,broken clouds,14.1059,-15.5508,Beuleup counda motel
424,Guaruja,BR,68.9,overcast clouds,-23.9931,-46.2564,Charme Hotel Guarujá
425,Komsomolskiy,UZ,77.72,broken clouds,40.4272,71.7189,Ikathouse
426,Srikakulam,IN,77.94,overcast clouds,18.3,83.9,Micro Systems
427,Tateyama,JP,83.14,broken clouds,34.9833,139.8667,Tateyama Seaside Hotel
428,Ust-Nera,RU,75.2,overcast clouds,64.5667,143.2,Hotel Ust-Nera
429,The Pas,CA,66.22,few clouds,53.8251,-101.2541,Wescana Inn
430,Bemidji,US,77.92,scattered clouds,47.4736,-94.8803,Hampton Inn & Suites Bemidji
431,Alta Floresta,BR,78.15,scattered clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
433,Pacific Grove,US,76.44,clear sky,36.6177,-121.9166,Lovers Point Inn
434,Wilmington,US,82.99,clear sky,34.2257,-77.9447,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
435,Maningrida,AU,83.46,clear sky,-12.0667,134.2667,Dhukurrdji Lodge
437,Paragominas,BR,75.04,clear sky,-2.9667,-47.4833,INOVA
439,Pilot Butte,CA,74.82,few clouds,50.4668,-104.4178,Sleep Inn Regina East
441,Jabalpur,IN,75.4,overcast clouds,23.167,79.9501,Hotel Rishi Regency
442,Bara,NG,74.73,scattered clouds,10.3744,10.7288,
445,Guane,CU,79.43,overcast clouds,22.2025,-84.0875,base de Campismo LosPortales de Guane
447,Matara,LK,76.42,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
448,Burns Lake,CA,80.02,clear sky,54.2331,-125.7533,Burns Lake Bed and Breakfast
451,Port Angeles,US,75.22,clear sky,48.1181,-123.4307,Red Lion Hotel Port Angeles Harbor
452,Muisne,EC,74.75,overcast clouds,0.6,-80.0333,Quinta Samay
455,Obo,CF,67.98,light rain,5.3998,26.4869,
456,Ratnagiri,IN,79.81,overcast clouds,16.9833,73.3,Hotel Landmark
459,Namatanai,PG,84.0,light rain,-3.6667,152.4333,Seagulls Inn Namatani
461,Ingham,US,69.42,clear sky,42.6,-84.3833,Sunset Mobile Home Park
463,Cotonou,BJ,75.18,few clouds,6.3654,2.4183,Novotel Cotonou Orisha
465,Progreso,MX,77.11,clear sky,21.2833,-89.6667,Playa Linda Hotel
469,Bilibino,RU,66.52,overcast clouds,68.0546,166.4372,Gostinitsa Severyanka
470,Birobidzhan,RU,68.2,clear sky,48.8,132.95,Hotel Central (Vostok)
471,Tambun,ID,84.09,overcast clouds,-6.2641,107.0712,Metland Hotel Bekasi
472,Salalah,OM,75.29,light intensity drizzle,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
477,Pekan,MY,80.71,overcast clouds,3.4836,103.3996,Pekan Budget Hotel
479,Ploemeur,FR,68.83,clear sky,47.7333,-3.4333,Best Western Plus Hotel Les Rives Du Ter
480,Kourou,GF,82.11,broken clouds,5.1552,-52.6478,Lodge TAKINI4 Guesthouse KOUROU FGU
481,Airai,TL,70.16,few clouds,-8.9266,125.4092,
482,Wanning,CN,79.84,light rain,18.8003,110.3967,Paradise Hotel
483,Kainantu,PG,74.82,overcast clouds,-6.2887,145.8655,Sylvester buku
487,Mamallapuram,IN,83.05,overcast clouds,12.6264,80.1722,Radisson Blu Resort Temple Bay Mamallapuram
489,Bowen,AU,68.86,scattered clouds,-20.0167,148.2333,Castle Motor Lodge Motel
491,Abu Kamal,SY,83.32,clear sky,34.4506,40.9171,البوكمال
492,Piacabucu,BR,72.28,clear sky,-10.4056,-36.4344,Piaçabuçu News
493,Karaton,ID,79.36,broken clouds,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
495,Port-Gentil,GA,74.37,light rain,-0.7193,8.7815,Fengshui Residence
500,Methoni,GR,78.22,clear sky,36.8197,21.7049,Methoni Beach Hotel
506,Lebanon,US,77.79,scattered clouds,36.2081,-86.2911,Hampton Inn & Suites Lebanon
509,Matay,EG,82.02,clear sky,28.419,30.7792,Nag Aespen
511,Sri Aman,MY,80.65,few clouds,1.2376,111.4621,Seri Simanggang Hotel
513,Kamaishi,JP,81.32,overcast clouds,39.2667,141.8833,Hotel Route Inn Kamaishi
515,Belmonte,BR,71.44,broken clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
516,Vila Franca Do Campo,PT,70.21,clear sky,37.7167,-25.4333,Pestana Bahia Praia
517,Orai,IN,82.85,clear sky,25.9833,79.4667,Capital O 66652 Hotel Manokamal
518,Hay River,CA,76.98,scattered clouds,60.8156,-115.7999,Ptarmigan Inn
519,Kununurra,AU,84.18,few clouds,-15.7667,128.7333,Hotel Kununurra
520,Oum Hadjer,TD,73.2,light rain,13.2954,19.6966,
521,Faanui,PF,74.68,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
522,Felanitx,ES,77.95,clear sky,39.4696,3.1483,Petit Hotel Hostatgeria Sant Salvador
530,Benjamin Constant,BR,78.93,overcast clouds,-4.3831,-70.0311,CASA AVALIADA
531,Mana,GF,79.47,few clouds,5.6592,-53.7767,LE SAMANA
532,Isiro,CD,66.56,overcast clouds,2.7739,27.616,Guest House Hewa Bora
533,Salinopolis,BR,78.62,clear sky,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
534,Praia Da Vitoria,PT,70.05,few clouds,38.7333,-27.0667,Hotel Branco I
537,Naqadeh,IR,68.74,clear sky,36.9553,45.388,ایبنه شربین اووی
540,Roma,US,68.5,overcast clouds,43.2128,-75.4557,Wingate By Wyndham Rome
542,Batticaloa,LK,78.06,overcast clouds,7.7102,81.6924,Grand Star Guest House
543,Los Llanos De Aridane,ES,72.12,broken clouds,28.6585,-17.9182,Valle Aridane
545,Jiuquan,CN,76.44,clear sky,39.7432,98.5174,Jiuquan Hotel
546,Kavieng,PG,82.4,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
547,Araceli,PH,82.81,overcast clouds,10.5529,119.9913,JBryan Traveler's Inn
548,Paka,MY,76.93,light rain,4.6374,103.4368,RUMBIA RESORT VILLA Paka Terengganu
549,Saint-Jean-De-Braye,FR,70.92,clear sky,47.913,1.9771,Novotel Orléans Saint-Jean-de-Braye
550,Balabac,PH,84.2,broken clouds,7.9868,117.0645,Batalla’s Lodging House
551,Isangel,VU,70.57,overcast clouds,-19.55,169.2667,Tanna Lodge
553,Panji,ID,84.83,broken clouds,-7.7253,114.0995,Rumah eni
554,Takaungu,KE,70.29,light rain,-3.6837,39.8566,Takaungu House
555,Sennoy,RU,66.2,clear sky,52.1509,46.9631,Guesthouse Sennoi na Zelenoi
557,Bucerias,MX,84.97,broken clouds,20.75,-105.3333,Royal Decameron Complex - Puerto Vallarta
562,Djibo,BF,79.07,overcast clouds,14.1022,-1.6306,Centre Des Ressources DPENA
565,Charters Towers,AU,68.85,clear sky,-20.1,146.2667,Cattleman's Rest Motor Inn
567,Kropotkin,RU,72.68,clear sky,45.4375,40.5756,Hotel Europe Kropotkin
568,San Miguel,SV,73.92,overcast clouds,13.4833,-88.1833,Excalibur
570,Changqing,CN,71.56,moderate rain,36.5575,116.7272,Hanting Hotel Jinan Changqing West Jingshi Road
571,Syracuse,IT,73.31,clear sky,37.0881,15.2792,Hotel Posta
573,Linhares,BR,68.23,overcast clouds,-19.3911,-40.0722,Hotel Conceição
574,Semirom,IR,71.38,broken clouds,31.4167,51.5667,Motel Dena
576,Nhulunbuy,AU,83.01,scattered clouds,-12.2333,136.7667,East Arnhem Real Estate
577,Encrucijada,CU,81.16,broken clouds,22.6169,-79.8711,Hostal La Terraza
578,Maypangdan,PH,81.07,overcast clouds,11.6519,125.4503,GV Hotel Borongan
582,Westport,US,83.53,overcast clouds,41.1415,-73.3579,The Westport Inn
584,Margate,GB,65.7,few clouds,51.3813,1.3862,Premier Inn Margate hotel
586,Canutama,BR,80.19,overcast clouds,-6.5339,-64.3831,Hotel Jhennifer
587,Dali,CN,67.5,clear sky,25.7,100.1833,Dali Travelling With Hostel
588,Beira,MZ,68.09,broken clouds,-19.8436,34.8389,Beira Terrace Hotel
589,Hamilton,US,79.21,overcast clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
590,Simpang,ID,79.27,few clouds,-1.2667,104.0833,
591,Mumford,GH,72.61,overcast clouds,5.2618,-0.759,Spanish Villa
593,Tura,IN,75.78,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
594,Cloquet,US,76.59,clear sky,46.7216,-92.4594,Super 8 by Wyndham Cloquet
595,Urucara,BR,81.48,overcast clouds,-2.5364,-57.76,Pousada Maria Bonita
596,Tadine,NC,71.37,scattered clouds,-21.55,167.8833,
597,Cilegon,ID,81.1,overcast clouds,-6.0174,106.0538,Forbis Hotel
598,Terra Santa,BR,79.2,few clouds,-2.1042,-56.4869,Hotel Sarah
600,Obihiro,JP,72.81,heavy intensity rain,42.9172,143.2044,Tokachi Gardens Hotel
601,Bowling Green,US,76.93,clear sky,36.9903,-86.4436,Hilton Garden Inn Bowling Green
604,Bin Qirdan,TN,81.16,clear sky,33.1378,11.2197,Hôtel Palace
606,Cabedelo,BR,74.07,clear sky,-6.9811,-34.8339,Pousada Camboinha
612,Edeia,BR,72.77,overcast clouds,-17.3383,-49.9314,Hotel Sol Nascente
613,Altay,CN,75.54,clear sky,47.8667,88.1167,Jinqiao Hotel
614,Maridi,SS,66.09,broken clouds,4.9158,29.4742,
616,Nuevitas,CU,80.4,clear sky,21.5453,-77.2644,Hotel Caonaba
617,Challans,FR,73.6,clear sky,46.8436,-1.8749,Citotel Le Challans
619,Kota Kinabalu,MY,84.18,few clouds,5.9749,116.0724,Gaya Centre Hotel
621,Versoix,CH,70.14,clear sky,46.2833,6.1667,Genève Cottage
622,Omsukchan,RU,70.27,overcast clouds,62.5333,155.8,
623,Kyabe,TD,72.86,moderate rain,9.4515,18.9449,
625,Slave Lake,CA,73.38,clear sky,55.2834,-114.769,Super 8 by Wyndham Slave Lake AB
628,Bud,US,73.33,overcast clouds,39.447,-86.1758,Ted McQuinn Trust
629,Kalmunai,LK,77.77,overcast clouds,7.4167,81.8167,VS Villa
630,Eureka,US,71.2,scattered clouds,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
631,Bluefield,US,75.31,broken clouds,37.2698,-81.2223,Economy Inn
632,Sao Geraldo Do Araguaia,BR,80.53,few clouds,-6.4006,-48.555,Hotel Por do Sol
634,Tautira,PF,73.18,overcast clouds,-17.7333,-149.15,Pension Oaoa
635,Mareeba,AU,74.48,clear sky,-17.0,145.4333,Trinity Plains Tourist Park
637,Matadi,CD,71.13,clear sky,-5.8167,13.45,Hotel Vivi Palace
639,Rock Island,US,75.18,clear sky,41.45,-90.5168,AmericInn by Wyndham Moline Airport/ Quad Cities
644,Santa Isabel Do Rio Negro,BR,75.18,broken clouds,-0.4139,-65.0192,Hotel GSA
645,Esmeraldas,BR,71.91,scattered clouds,-19.7625,-44.3139,Forasteiro Pousada
646,Mattru,SL,73.56,light rain,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
648,Nirmal,IN,73.09,overcast clouds,19.1,78.35,Hotel Mayuri
650,Ponta Delgada,PT,70.52,scattered clouds,37.7333,-25.6667,Vila Nova Hotel
652,Kashi,CN,67.21,mist,39.4547,75.9797,帕米尔青年旅舍
653,San Quintin,MX,76.08,clear sky,30.4833,-115.95,Don Eddie's / Hotel - Restaurant
655,Khandyga,RU,67.62,overcast clouds,62.6667,135.6,Apel'sin
656,Camacha,PT,67.42,few clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
657,Dossor,KZ,79.74,few clouds,47.5272,52.9811,"Gostinitsa Orpk ""Nauryz"""
660,Gallup,US,77.76,broken clouds,35.5281,-108.7426,Quality Inn & Suites Gallup I-40 Exit 20
661,Port Blair,IN,82.44,broken clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
663,Bonthe,SL,75.36,light rain,7.5264,-12.505,Bonthe Holiday Village
665,Candolim,IN,77.0,overcast clouds,15.5181,73.7626,Resort Terra Paraiso
666,Ugoofaaru,MV,80.82,broken clouds,5.6667,73.0,Ungoofaaru Inn
667,Porbandar,IN,81.41,overcast clouds,21.6422,69.6093,Lords Inn Porbandar
668,Balakovo,RU,67.57,few clouds,52.0278,47.8007,Victoria Hotel
671,Vila,PT,65.7,clear sky,42.0304,-8.1588,Hotel Castrum Villae by Walk Hotels
672,Taman,RU,78.58,overcast clouds,45.2117,36.7161,Staryy Gorod G. Taman'
675,Panalingaan,PH,84.63,broken clouds,8.7842,117.4231,I Love Panalingaan View Deck
676,Gurupa,BR,75.94,broken clouds,-1.405,-51.64,Hotel Vitória
677,Evensk,RU,65.97,overcast clouds,61.95,159.2333,
678,Kirakira,SB,82.69,broken clouds,-10.4544,161.9205,SanBiz Lodge
680,Huntington,US,79.54,few clouds,38.4193,-82.4452,Ramada Limited Huntington
681,Mao,ES,72.16,clear sky,39.8885,4.2658,ARTIEM Capri
682,Zhuhai,CN,83.98,scattered clouds,22.2769,113.5678,珠海粤财假日酒店
683,Maceio,BR,71.04,clear sky,-9.6658,-35.7353,Hotel Ponta Verde Maceió
687,Sal Rei,CV,78.4,scattered clouds,16.1833,-22.9167,Marine Club Beach Resort
688,Santiago,CL,67.55,clear sky,-33.4569,-70.6483,Hotel Panamericano
690,Mangrol,IN,80.01,overcast clouds,21.1167,70.1167,Hotel The Royal Honours
694,Aksay,RU,66.42,clear sky,47.26,39.87,Chernaya Zhemchuzhina
698,Paris,FR,74.08,clear sky,48.8534,2.3488,Britannique Hotel - Paris Centre
700,Hibbing,US,76.35,clear sky,47.4272,-92.9377,Mitchell-Tappan House - Carriage House Rentals
701,Klamath Falls,US,84.87,clear sky,42.2249,-121.7817,"Holiday Inn Express & Suites Klamath Falls Central, an IHG Hotel"
702,Hoquiam,US,71.37,clear sky,46.9809,-123.8893,Econo Lodge Inn & Suites
704,La Union,PE,65.8,scattered clouds,-5.4,-80.75,Los Portales
